Christian,1027,3,9
Didier,957,4,-12
Gabriel,1079,33,-4
Henri,1029,10,8.33333
Julien,989,1,-11
Luc,1207,36,14.3333
Martin,955,14,-2
Maïlys,1082,13,6
Nico,994,6,-3.33333
Olivier,1021,3,7
Romaric,1010,4,3.33333
Thibaud,970,4,-6.66667
Yassine,1072,32,-2
Yohan,1000,1,0
